comparison,feature,family,short_feature,z2,z2.5,abs_diff,rel_diff,changed,z3,z3.5,z5,z5.5
z2.5_vs_z3,original_glszm_ZonePercentage,glszm,ZonePercentage,,0.0054016163615371,0.0018005387871790003,0.3333333333333272,True,0.0036010775743581,,,
z2.5_vs_z3,original_glszm_ZoneVariance,glszm,ZoneVariance,,217736.18926635975,272170.23658294976,0.5555555555555557,True,489906.4258493095,,,
z2.5_vs_z3,original_ngtdm_Busyness,ngtdm,Busyness,,19.812370512463872,1.2693889284457107,0.0640705223863618,True,18.54298158401816,,,
z2.5_vs_z3,original_ngtdm_Coarseness,ngtdm,Coarseness,,0.0009974866603106,6.828451601119997e-05,0.06407052238630076,True,0.0010657711763218,,,
z2.5_vs_z3,original_ngtdm_Complexity,ngtdm,Complexity,,21.432678925971352,1.3470177035088469,0.06284877910789673,True,20.085661222462505,,,
z2.5_vs_z3,original_ngtdm_Contrast,ngtdm,Contrast,,0.0392061688007997,0.002443886884653898,0.062334243804103844,True,0.0367622819161458,,,
z2.5_vs_z3,original_ngtdm_Strength,ngtdm,Strength,,0.0342504781267065,0.0022769069253621016,0.06233424380410601,True,0.0365273850520686,,,
z3_vs_z3.5,original_glcm_Autocorrelation,glcm,Autocorrelation,,,0.030036767089505645,0.0008637702650780945,True,34.74398626181157,34.77402302890108,,
z3_vs_z3.5,original_glcm_ClusterProminence,glcm,ClusterProminence,,,3.3657694719581173,0.010138940747153779,True,328.5988366830746,331.9646061550327,,
z3_vs_z3.5,original_glcm_ClusterShade,glcm,ClusterShade,,,0.005242477450301097,0.011539827485075468,True,0.4542942654109194,0.4490517879606183,,
z3_vs_z3.5,original_glcm_ClusterTendency,glcm,ClusterTendency,,,0.05980147749752085,0.005256024416071351,True,11.317900139463354,11.377701616960875,,
z3_vs_z3.5,original_glcm_Contrast,glcm,Contrast,,,0.060826045147248875,0.052080330770046646,True,1.16792739692491,1.1071013517776611,,
z3_vs_z3.5,original_glcm_Correlation,glcm,Correlation,,,0.00972465789917576,0.011820460414751268,True,0.8129723909433494,0.8226970488425251,,
z3_vs_z3.5,original_glcm_DifferenceAverage,glcm,DifferenceAverage,,,0.02901653337116683,0.04219640719031586,True,0.6876541227857468,0.65863758941458,,
z3_vs_z3.5,original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,,,0.029931526467634972,0.023760595217381962,True,1.2597128225869818,1.2297812961193468,,
z3_vs_z3.5,original_glcm_DifferenceVariance,glcm,DifferenceVariance,,,0.021612740038233325,0.042214574146243,True,0.5119734232864885,0.4903606832482552,,
z3_vs_z3.5,original_glcm_Id,glcm,Id,,,0.009425791543671624,0.012698776577405868,True,0.7328340227161005,0.7422598142597722,,
z3_vs_z3.5,original_glcm_Idm,glcm,Idm,,,0.011327315507975166,0.015830718200645338,True,0.7042002660210429,0.7155275815290181,,
